sitename,county,aqi,status,pm2.5,datacreationdate,longitude,latitude
大園,桃園市,42,,良好,1.3,0.22,41.4
桃園,桃園市,38,,良好,1.4,0.44,33.7
大同,臺北市,59,二氧化氮,普通,1,1.27,11.6
松山,臺北市,41,,良好,1.3,0.34,25
古亭,臺北市,40,,良好,2.5,0.28,35.8
萬華,臺北市,38,,良好,1.4,0.41,27.1
中山,臺北市,43,,良好,,0.46,29.1
士林,臺北市,40,,良好,0.8,0.25,46.7
淡水,新北市,40,,良好,1.3,0.42,43.9
林口,新北市,29,,良好,1.5,0.29,34.4
菜寮,新北市,36,,良好,0.6,0.39,37.4
新莊,新北市,42,,良好,0.8,0.37,35.2
板橋,新北市,34,,良好,1,0.4,35.6
土城,新北市,35,,良好,0.8,0.33,39
新店,新北市,40,,良好,0.6,0.32,35.5
萬里,新北市,47,,良好,0.7,0.18,55.6
汐止,新北市,41,,良好,0,0.33,27.9
基隆,基隆市,42,,良好,1.1,0.22,49.3
屏東(枋山),屏東縣,77,臭氧八小時,普通,0.5,0.21,48.9
宜蘭（頭城）,宜蘭縣,34,,良好,0,0.23,27
新北(樹林),新北市,37,,良好,1.2,0.31,25
屏東（琉球）,屏東縣,72,細懸浮微粒,普通,1.6,0.33,64.4
臺南（麻豆）,臺南市,51,懸浮微粒,普通,1.2,0.24,50.1
高雄（湖內）,高雄市,61,細懸浮微粒,普通,1.9,0.31,55.2
彰化（員林）,彰化縣,35,,良好,1.2,0.31,33.6
大城,彰化縣,50,,良好,0.7,0.17,51.7
富貴角,新北市,49,,良好,0.3,0.15,57.2
麥寮,雲林縣,48,,良好,1.7,0.22,48.8
關山,臺東縣,36,,良好,1.4,0.2,40.1
馬公,澎湖縣,44,,良好,1.6,0.19,51.8
金門,金門縣,48,,良好,0.6,0.34,41.7
馬祖,連江縣,62,細懸浮微粒,普通,0.8,0.27,51.8
埔里,南投縣,51,細懸浮微粒,普通,1.2,0.31,44.2
復興,高雄市,82,細懸浮微粒,普通,1.6,0.43,67.9
永和,新北市,37,,良好,2,0.41,34
竹山,南投縣,53,細懸浮微粒,普通,1.4,0.26,44
中壢,桃園市,47,,良好,0.8,0.92,22
三重,新北市,58,二氧化氮,普通,0.7,1.07,12.1
冬山,宜蘭縣,32,,良好,0.8,0.19,33.2
宜蘭,宜蘭縣,31,,良好,0.9,0.23,39.2
陽明,臺北市,44,,良好,0.5,0.2,51.5
花蓮,花蓮縣,39,,良好,1.4,0.25,43.8
臺東,臺東縣,39,,良好,0.9,0.22,42.8
